,mu,std
CSV[2],0.8307462483742416,0.1750581143550364
Reco_tHq_bestJABDToutput,0.14083324,0.35272625
Reco_JABDT_tHW_Jet_CSV_btop,0.7282072,0.6319795
Evt_Pt_JetsAverage,94.25576,38.6358
Evt_Pt_TaggedJetsAverage,96.28072,42.519196
Reco_ttH_toplep_m,147.60364,134.355
Evt_Deta_TaggedJetsAverage,0.9289796,0.39490885
N_Jets,5.994051290772619,1.317689846795156
Reco_JABDT_tHW_top_pt__P__h_pt__P__wb_pt__DIV__Evt_HT__P__Evt_Pt_MET__P__Lep_Pt,0.5072055,0.5712694
Evt_Deta_JetsAverage,1.003916,0.3577761
Reco_ttbar_bestJABDToutput,0.28449365,0.15846038
Evt_CSV_avg_tagged,0.8386282,0.105504654
Reco_JABDT_tHq_abs_ljet_eta,1.2419993,1.2291063
Evt_Pt_minDrTaggedJets,182.53639,101.26794
Evt_M_TaggedJetsAverage,13.417482,4.9581695
Evt_M2_minDrTaggedJets,86.94692,40.540867
Reco_ttH_bestJABDToutput,-0.12737307,0.6198182
Evt_HT_tags,392.99158,176.6517
Evt_CSV_avg,0.6051673,0.14162809
Evt_blr_transformed,8.866748,3.1417456
