,mu,std
Evt_Pt_TaggedJetsAverage,96.28075,42.519196
Reco_tHq_bestJABDToutput,0.14083327,0.35272625
N_Jets,5.994051290772619,1.3176898467951563
Evt_Pt_JetsAverage,94.25577,38.6358
Reco_ttH_toplep_m,147.60362,134.355
Reco_JABDT_tHq_abs_ljet_eta,1.2419994,1.2291063
Evt_CSV_avg_tagged,0.8386283,0.105504654
Reco_JABDT_tHW_Jet_CSV_btop,0.728207,0.6319795
Evt_M2_minDrTaggedJets,86.9469,40.540867
Evt_Deta_JetsAverage,1.0039164,0.3577761
Reco_ttbar_bestJABDToutput,0.28449365,0.15846038
Evt_HT_tags,392.9916,176.6517
memDBp,0.53479904,0.3967064
Evt_M_TaggedJetsAverage,13.41748,4.9581695
Evt_Pt_minDrTaggedJets,182.53638,101.26794
Evt_Deta_TaggedJetsAverage,0.9289794,0.39490885
Reco_JABDT_tHW_top_pt__P__h_pt__P__wb_pt__DIV__Evt_HT__P__Evt_Pt_MET__P__Lep_Pt,0.50720555,0.5712694
Reco_ttH_bestJABDToutput,-0.12737305,0.6198182
CSV[2],0.8307462483742416,0.17505811435503632
Evt_CSV_avg,0.60516715,0.14162809
Evt_blr_transformed,8.866745,3.1417456
