,mu,std
Jet_Pt[2],80.61500611878891,37.992414274415836
Evt_Deta_JetsAverage,1.0302056,0.39859575
Evt_Deta_maxDetaTagTag,0.5521075,0.28528592
Evt_CSV_avg_tagged,0.8301759,0.12416067
Reco_JABDT_tHW_Jet_CSV_whaddau1,-0.28878918,0.6792772
Reco_JABDT_ttbar_Jet_CSV_btophad,0.9119168,0.15547457
Reco_JABDT_ttbar_Jet_CSV_btoplep,0.88555324,0.18473229
Evt_M_JetsAverage,12.935497,4.5698056
Reco_JABDT_ttbar_Jet_CSV_whaddau1,0.24954891,0.31682867
Evt_M3,263.9715,173.00055
Jet_Pt[0],170.8348328769896,108.21229268719837
Evt_M2_minDrTaggedJets,111.11197,61.543537
Evt_Pt_TaggedJetsAverage,94.73099,46.371044
Reco_ttbar_whad_m,115.29582,103.1517
Reco_JABDT_ttH_Jet_CSV_btoplep,-0.5410512,1.0933305
Evt_HT_tags,284.19272,139.11313
Evt_Dr_TaggedJetsAverage,2.1589954,0.44333038
Evt_M_Total,872.8167,427.46582
Evt_CSV_avg,0.5073015,0.11969561
Reco_ttH_bestJABDToutput,-0.48243085,0.5837198
Reco_ttbar_toplep_m,213.38287,88.10628
Reco_tHq_bestJABDToutput,0.15156013,0.15083256
Evt_CSV_dev,0.16619445,0.03887262
Jet_Pt[3],59.35481901189862,26.02745673002951
Reco_tHW_bestJABDToutput,-0.06019252,0.53317875
Reco_JABDT_tHW_Jet_CSV_btop,0.30265495,1.0075777
Reco_ttbar_bestJABDToutput,0.22662917,0.16767925
Evt_M_TaggedJetsAverage,13.4215355,5.7013645
Reco_tHW_whad_dr,0.9517382,1.5992098
Jet_Pt[1],113.8696698157836,63.95009632699999
Evt_TaggedJetPt_over_TaggedJetE,0.66252416,0.18208942
N_Jets,5.294708553393312,1.216280599327097
Evt_JetPt_over_JetE,0.62352085,0.16139212
Evt_Deta_TaggedJetsAverage,0.9441144,0.50257254
Evt_Deta_maxDetaJetJet,0.80050606,0.29769164
Evt_HT_jets,484.74353,244.19115
Evt_Pt_minDrTaggedJets,163.4247,93.22219
Evt_h1,0.034575637,0.11789273
Evt_blr_transformed,2.655699,2.3906417
