,mu,std
Reco_ttbar_whad_m,115.29587,103.1517
Reco_ttbar_toplep_m,213.38287,88.10628
Reco_ttbar_bestJABDToutput,0.226629,0.16767925
Reco_ttH_bestJABDToutput,-0.4824312,0.5837198
Reco_tHq_bestJABDToutput,0.1515601,0.15083256
Reco_tHW_whad_dr,0.95173854,1.5992098
Reco_tHW_bestJABDToutput,-0.060192548,0.53317875
Reco_JABDT_ttbar_Jet_CSV_whaddau1,0.24954894,0.31682867
Reco_JABDT_ttbar_Jet_CSV_btoplep,0.8855534,0.18473229
Reco_JABDT_ttbar_Jet_CSV_btophad,0.91191685,0.15547457
Reco_JABDT_ttH_Jet_CSV_btoplep,-0.54105145,1.0933305
Reco_JABDT_tHW_Jet_CSV_whaddau1,-0.28878924,0.6792772
Reco_JABDT_tHW_Jet_CSV_btop,0.30265474,1.0075777
N_Jets,5.294708553393312,1.216280599327098
Evt_h1,0.034575637,0.11789273
Evt_blr_transformed,2.6556985,2.3906417
Evt_Pt_minDrTaggedJets,163.4247,93.22219
Evt_M_Total,872.8161,427.46582
Evt_M_TaggedJetsAverage,13.421522,5.7013645
Evt_M_JetsAverage,12.935498,4.5698056
Evt_JetPt_over_JetE,0.6235207,0.16139212
Evt_HT_tags,284.19293,139.11313
Evt_Deta_TaggedJetsAverage,0.9441138,0.50257254
Evt_Deta_JetsAverage,1.0302062,0.39859575
Evt_CSV_dev,0.16619426,0.03887262
Evt_CSV_avg_tagged,0.8301757,0.12416067
Evt_CSV_avg,0.50730115,0.11969561
